Line,Breeding_Program,Kernel_Plumpness,Trial
6B01-2218,BA,85.163,SP6-LowN_2013_Prosper
6B01-2218,BA,85.09,CAP6Row_Irr_2012_FtCollins
6B01-2218,BA,84,SP6-LowN_2012_Crookston
6B01-2218,BA,76.71182625,SP6-LowN_2012_Pullman
6B01-2218,BA,75.5,SP6-NormN_2012_Crookston
6B01-2218,BA,72.4,SP6-NormN_2013_Prosper
CELEBRATION,BA,89.2,MAT_Malt_2013_Crookston
CELEBRATION,BA,88.2,On_Farm_2016_Oklee
CELEBRATION,BA,87.8,MAT_Malt_2011_Crookston
CELEBRATION,BA,87.3,MAT_Malt_2013_Morris
CELEBRATION,BA,86.8,MAT_Malt_2011_Morris
CELEBRATION,BA,85.87,On_Farm_2016_Hallock
CELEBRATION,BA,79,MATSpr_Yield_2016_Crookston
CELEBRATION,BA,78.8,MATSpr_Yield_2016_StPaul
CELEBRATION,BA,77.99,On_Farm_2016_FergusFalls
FEG124-35,MN,84.25,SP6-LowN_2012_Crookston
FEG124-35,MN,81.93,CAP6Row_Irr_2012_FtCollins
FEG124-35,MN,80.505,SP6-LowN_2013_Prosper
FEG124-35,MN,78.58097461,SP6-LowN_2012_Pullman
FEG124-35,MN,74.01850999,SP6-LowN_2012_Prosper
FEG124-35,MN,71.72,CAP6Row_Dry_2012_FtCollins
FEG125-69,MN,87.92,CAP6Row_Irr_2012_FtCollins
FEG125-69,MN,81,SP6-NormN_2012_Crookston
FEG125-69,MN,76.67,SP6-LowN_2013_Prosper
FEG125-69,MN,73.28283797,SP6-LowN_2012_Pullman
FEG125-69,MN,73,SP6-NormN_2012_Pullman
FEG125-69,MN,70.65289127,SP6-LowN_2012_Prosper
FEG126-12,MN,88.2,SP6-NormN_2013_Prosper
FEG126-12,MN,86.66569493,SP6-LowN_2012_Prosper
FEG126-12,MN,83.5,SP6-NormN_2012_Crookston
FEG126-12,MN,82.46521322,SP6-LowN_2012_Pullman
FEG126-12,MN,80,SP6-NormN_2012_Pullman
FEG129-60,MN,89.75,SP6-NormN_2012_Crookston
FEG129-60,MN,88.5,SP6-LowN_2012_Crookston
FEG129-60,MN,84.62,SP6-LowN_2013_Prosper
FEG129-60,MN,82.84146901,SP6-LowN_2012_Pullman
FEG129-60,MN,80.12568352,SP6-LowN_2012_Prosper
FEG129-60,MN,80,SP6-NormN_2012_Pullman
FEG129-60,MN,78.532,SP6-NormN_2012_Prosper
FEG129-60,MN,71.3,SP6-NormN_2013_Prosper
FEG132-39,MN,89,SP6-NormN_2012_Pullman
FEG132-39,MN,84.2,CAP6Row_Dry_2012_FtCollins
FEG132-39,MN,83.37,CAP6Row_Irr_2012_FtCollins
FEG132-39,MN,82,SP6-NormN_2011_Crookston
FEG132-39,MN,80,SP6-LowN_2012_Crookston
FEG132-39,MN,77,SP6-NormN_2012_Crookston
FEG132-39,MN,76.5,SP6-LowN_2011_Crookston
FEG132-39,MN,70.486,SP6-LowN_2013_Prosper
FEG138-08,MN,88.29,CAP6Row_Irr_2012_FtCollins
FEG138-08,MN,84.389,SP6-LowN_2013_Prosper
FEG138-08,MN,83,SP6-NormN_2012_Crookston
FEG138-08,MN,79.25,SP6-LowN_2012_Crookston
FEG138-08,MN,76.46904831,SP6-LowN_2012_Pullman
FEG138-08,MN,70.5,SP6-NormN_2013_Prosper
FEG138-27,MN,83,SP6-NormN_2012_Pullman
FEG138-27,MN,80.783,SP6-LowN_2013_Prosper
FEG138-27,MN,80,SP6-NormN_2012_Crookston
