Line,Breeding_Program,Grain_Yield,Trial
6B01-2157,BA,5487.71,6401IM_2006_Fairfield
6B01-2157,BA,5209,DroughtTrial_2006_Irrigated
6B01-2157,BA,4789.45,6401_2006_Beiseker
6B01-2157,BA,4753,DroughtTrial_2006_Dryland
6B01-2157,BA,4463.13,6401IM_2006_Conrad
6B01-2208,BA,5581.7,6401IM_2006_Fairfield
6B01-2208,BA,5010.2,6401_2006_Beiseker
6B01-2208,BA,4530.57,6401IM_2006_Conrad
6B01-2208,BA,4471,DroughtTrial_2006_Irrigated
6B01-2208,BA,4114,DroughtTrial_2006_Dryland
6B01-2218,BA,5545.22,6401IM_2006_Fairfield
6B01-2218,BA,5496.06,6401IM_2006_Conrad
6B01-2218,BA,5434.3,6401_2006_Beiseker
6B01-2218,BA,5035,DroughtTrial_2006_Irrigated
6B01-2218,BA,4664.101305,SP6-NormN_2012_Pullman
6B01-2218,BA,4351.762677,SP6-NormN_2011_Crookston
6B01-2218,BA,4211,DroughtTrial_2006_Dryland
6B01-2221,BA,5603.81,6401IM_2006_Fairfield
6B01-2221,BA,5211.14,6401IM_2006_Conrad
6B01-2221,BA,5125,DroughtTrial_2006_Dryland
6B01-2221,BA,4962,DroughtTrial_2006_Irrigated
6B01-2221,BA,4708.69,6401_2006_Beiseker
6B01-2513,BA,5441.1,6401IM_2006_Fairfield
6B01-2513,BA,5189.67,6401IM_2006_Conrad
6B01-2513,BA,5083,DroughtTrial_2006_Irrigated
6B01-2513,BA,4764.73,6401_2006_Beiseker
6B01-2513,BA,4111,DroughtTrial_2006_Dryland
6B02-3120,BA,5939.04,6401IM_2006_Fairfield
6B02-3120,BA,5361.37,6401IM_2006_Conrad
6B02-3120,BA,5287,DroughtTrial_2006_Irrigated
6B02-3120,BA,5054,DroughtTrial_2006_Dryland
6B02-3120,BA,4898.82,6401_2006_Beiseker
CELEBRATION,BA,5843.88,MAT_Agronomic_2011_StPaul
CELEBRATION,BA,5287.39,MAT_Agronomic_2011_Crookston
CELEBRATION,BA,5185.24,MAT_Agronomic_2012_Crookston
CELEBRATION,BA,5145.124746,MAT_Agronomic_2013_Crookston
CELEBRATION,BA,5023.31,MAT_Agronomic_2012_Stephen
CELEBRATION,BA,4802.559661,On_Farm_2016_Kimball
CELEBRATION,BA,4234.701531,MAT_Agronomic_2013_Roseau
CELEBRATION,BA,4211.359332,MATSpr_Yield_2016_StPaul
CELEBRATION,BA,4179.933017,MATSpr_Yield_2016_Morris
