Line,Breeding_Program,Heading_Date,Trial
6B01-2157,BA,179,6401_2006_Beiseker
6B01-2157,BA,54,FHBN_2006_Fargo
6B01-2157,BA,53.5,FHBN_2006_Crookston07
6B01-2157,BA,50,FHBN_2006_Langdon
6B01-2208,BA,180,6401_2006_Beiseker
6B01-2208,BA,55,FHBN_2006_Fargo
6B01-2208,BA,55,FHBN_2006_Crookston07
6B01-2208,BA,52,FHBN_2006_Langdon
6B01-2218,BA,190,SP6-LowN_2011_Crookston
6B01-2218,BA,190,SP6-NormN_2013_Prosper
6B01-2218,BA,188,SP6-NormN_2011_Crookston
6B01-2218,BA,183,SP6-LowN_2012_Prosper
6B01-2218,BA,183,SP6-NormN_2012_Prosper
6B01-2218,BA,178,6401_2006_Beiseker
6B01-2218,BA,171,SP6-LowN_2012_Crookston
6B01-2218,BA,170,SP6-NormN_2012_Crookston
6B01-2218,BA,59,FHBN_2006_Fargo
6B01-2218,BA,54.5,FHBN_2006_Crookston07
6B01-2218,BA,52,FHBN_2006_Langdon
6B01-2221,BA,180,6401_2006_Beiseker
6B01-2221,BA,59,FHBN_2006_Fargo
6B01-2221,BA,55.5,FHBN_2006_Crookston07
6B01-2221,BA,51,FHBN_2006_Langdon
6B01-2513,BA,178,6401_2006_Beiseker
6B01-2513,BA,60,FHBN_2006_Fargo
6B01-2513,BA,54,FHBN_2006_Crookston07
6B01-2513,BA,51,FHBN_2006_Langdon
6B02-3120,BA,177,6401_2006_Beiseker
6B02-3120,BA,58,FHBN_2006_Fargo
6B02-3120,BA,54.5,FHBN_2006_Crookston07
6B02-3120,BA,51,FHBN_2006_Langdon
FEG124-35,MN,189,SP6-NormN_2013_Prosper
FEG124-35,MN,187,SP6-NormN_2012_Prosper
FEG124-35,MN,186,SP6-LowN_2011_Crookston
FEG124-35,MN,186,SP6-LowN_2012_Prosper
FEG124-35,MN,185.5,SP6-NormN_2011_Crookston
FEG124-35,MN,174,SP6-LowN_2012_Crookston
FEG124-35,MN,173,SP6-NormN_2012_Crookston
FEG124-35,MN,68,PYT1_2006_Morris
FEG124-35,MN,60,PYT1_2006_StPaul
FEG124-35,MN,55,FHBN_2006_Crookston07
FEG124-35,MN,54,FHBN_2006_Fargo
FEG124-35,MN,52,FHBN_2006_Langdon
FEG124-35,MN,52,PYT1_2006_Crookston
FEG125-06,MN,68,PYT1_2006_Morris
FEG125-06,MN,56,PYT1_2006_StPaul
FEG125-06,MN,54.5,FHBN_2006_Crookston07
FEG125-06,MN,53,FHBN_2006_Fargo
FEG125-06,MN,52,FHBN_2006_Langdon
FEG125-06,MN,50,PYT1_2006_Crookston
FEG125-46,MN,66,PYT1_2006_Morris
FEG125-46,MN,55,PYT1_2006_StPaul
FEG125-46,MN,54,FHBN_2006_Crookston07
FEG125-68,MN,66,PYT1_2006_Morris
FEG125-68,MN,56,PYT1_2006_StPaul
FEG125-68,MN,55,FHBN_2006_Crookston07
FEG125-68,MN,53,FHBN_2006_Fargo
FEG125-68,MN,50,PYT1_2006_Crookston
FEG125-68,MN,50,FHBN_2006_Langdon
FEG125-69,MN,187,SP6-NormN_2013_Prosper
FEG125-69,MN,187,SP6-LowN_2011_Crookston
FEG125-69,MN,186,SP6-NormN_2011_Crookston
FEG125-69,MN,183,SP6-LowN_2012_Prosper
FEG125-69,MN,183,SP6-NormN_2012_Prosper
FEG125-69,MN,169,SP6-NormN_2012_Crookston
FEG125-69,MN,168,SP6-LowN_2012_Crookston
FEG125-69,MN,66,PYT1_2006_Morris
FEG125-69,MN,57,PYT1_2006_StPaul
FEG125-69,MN,54,FHBN_2006_Fargo
FEG125-69,MN,53.5,FHBN_2006_Crookston07
FEG125-69,MN,52,FHBN_2006_Langdon
FEG125-69,MN,50,PYT1_2006_Crookston
FEG126-03,MN,67,PYT1_2006_Morris
FEG126-03,MN,58,PYT1_2006_StPaul
FEG126-03,MN,55,FHBN_2006_Fargo
FEG126-03,MN,54,FHBN_2006_Crookston07
FEG126-03,MN,52,FHBN_2006_Langdon
FEG126-03,MN,51,PYT1_2006_Crookston
FEG126-08,MN,66,PYT1_2006_Morris
FEG126-08,MN,56,PYT1_2006_StPaul
FEG126-08,MN,53.5,FHBN_2006_Crookston07
FEG126-08,MN,52,FHBN_2006_Fargo
FEG126-08,MN,50,FHBN_2006_Langdon
FEG126-12,MN,188,SP6-NormN_2013_Prosper
FEG126-12,MN,185,SP6-LowN_2011_Crookston
FEG126-12,MN,184.5,SP6-NormN_2011_Crookston
FEG126-12,MN,181,SP6-NormN_2012_Prosper
FEG126-12,MN,178,SP6-LowN_2012_Prosper
FEG126-12,MN,169,SP6-NormN_2012_Crookston
FEG126-12,MN,168,SP6-LowN_2012_Crookston
FEG126-12,MN,67,PYT1_2006_Morris
FEG126-12,MN,58,PYT1_2006_StPaul
FEG126-12,MN,54,FHBN_2006_Crookston07
FEG126-12,MN,53,FHBN_2006_Fargo
FEG126-12,MN,52,FHBN_2006_Langdon
FEG126-14,MN,66,PYT1_2006_Morris
FEG126-14,MN,55,PYT1_2006_StPaul
FEG126-14,MN,54,FHBN_2006_Crookston07
FEG126-14,MN,53,FHBN_2006_Fargo
FEG126-14,MN,52,FHBN_2006_Langdon
FEG126-14,MN,50,PYT1_2006_Crookston
FEG129-41,MN,66,PYT1_2006_Morris
FEG129-41,MN,56,PYT1_2006_StPaul
FEG129-41,MN,55,FHBN_2006_Crookston07
FEG129-41,MN,51,FHBN_2006_Fargo
FEG129-41,MN,50,FHBN_2006_Langdon
FEG129-41,MN,50,PYT1_2006_Crookston
FEG129-52,MN,66,PYT1_2006_Morris
FEG129-52,MN,54,PYT1_2006_StPaul
FEG129-52,MN,53.5,FHBN_2006_Crookston07
FEG129-52,MN,53,FHBN_2006_Fargo
FEG129-52,MN,50,PYT1_2006_Crookston
FEG129-52,MN,50,FHBN_2006_Langdon
FEG129-60,MN,187,SP6-NormN_2013_Prosper
FEG129-60,MN,185,SP6-NormN_2011_Crookston
FEG129-60,MN,185,SP6-LowN_2012_Prosper
FEG129-60,MN,184,SP6-LowN_2011_Crookston
FEG129-60,MN,183,SP6-NormN_2012_Prosper
FEG129-60,MN,170,SP6-NormN_2012_Crookston
FEG129-60,MN,169,SP6-LowN_2012_Crookston
FEG129-60,MN,66,PYT1_2006_Morris
FEG129-60,MN,57,PYT1_2006_StPaul
FEG129-60,MN,54,FHBN_2006_Fargo
FEG129-60,MN,54,FHBN_2006_Langdon
FEG129-60,MN,54,FHBN_2006_Crookston07
FEG129-60,MN,52,PYT1_2006_Crookston
FEG132-05,MN,66,PYT1_2006_Morris
FEG132-05,MN,56,PYT1_2006_StPaul
FEG132-05,MN,54,FHBN_2006_Crookston07
FEG132-05,MN,54,FHBN_2006_Fargo
FEG132-05,MN,52,FHBN_2006_Langdon
FEG132-05,MN,52,PYT1_2006_Crookston
FEG132-07,MN,66,PYT1_2006_Morris
FEG132-07,MN,56,PYT1_2006_StPaul
FEG132-07,MN,54,FHBN_2006_Fargo
FEG132-07,MN,52.5,FHBN_2006_Crookston07
FEG132-07,MN,50,PYT1_2006_Crookston
FEG132-07,MN,50,FHBN_2006_Langdon
FEG132-39,MN,188,SP6-NormN_2013_Prosper
FEG132-39,MN,185,SP6-NormN_2012_Prosper
FEG132-39,MN,185,SP6-LowN_2012_Prosper
FEG132-39,MN,184.5,SP6-NormN_2011_Crookston
FEG132-39,MN,184,SP6-LowN_2011_Crookston
FEG132-39,MN,172,SP6-NormN_2012_Crookston
FEG132-39,MN,170,SP6-LowN_2012_Crookston
FEG132-39,MN,67,PYT1_2006_Morris
FEG132-39,MN,58,PYT1_2006_StPaul
FEG132-39,MN,55,FHBN_2006_Fargo
FEG132-39,MN,52.5,FHBN_2006_Crookston07
FEG132-39,MN,52,FHBN_2006_Langdon
FEG132-39,MN,51,PYT1_2006_Crookston
FEG132-63,MN,66,PYT1_2006_Morris
FEG132-63,MN,56,PYT1_2006_StPaul
FEG132-63,MN,55,FHBN_2006_Fargo
FEG132-63,MN,53,FHBN_2006_Langdon
FEG132-63,MN,53,FHBN_2006_Crookston07
FEG132-63,MN,50,PYT1_2006_Crookston
FEG138-03,MN,66,PYT1_2006_Morris
FEG138-03,MN,56,PYT1_2006_StPaul
FEG138-03,MN,53.5,FHBN_2006_Crookston07
FEG138-03,MN,53,FHBN_2006_Fargo
FEG138-03,MN,52,FHBN_2006_Langdon
FEG138-03,MN,50,PYT1_2006_Crookston
FEG138-08,MN,187,SP6-NormN_2013_Prosper
FEG138-08,MN,186,SP6-LowN_2011_Crookston
FEG138-08,MN,185,SP6-NormN_2011_Crookston
FEG138-08,MN,185,SP6-LowN_2012_Prosper
FEG138-08,MN,183,SP6-NormN_2012_Prosper
FEG138-08,MN,170,SP6-LowN_2012_Crookston
FEG138-08,MN,169,SP6-NormN_2012_Crookston
FEG138-08,MN,66,PYT1_2006_Morris
FEG138-08,MN,56,PYT1_2006_StPaul
FEG138-08,MN,53,FHBN_2006_Fargo
FEG138-08,MN,53,FHBN_2006_Crookston07
FEG138-08,MN,52,FHBN_2006_Langdon
FEG138-08,MN,51,PYT1_2006_Crookston
FEG138-17,MN,66,PYT1_2006_Morris
FEG138-17,MN,56,PYT1_2006_StPaul
FEG138-17,MN,53.5,FHBN_2006_Crookston07
FEG138-17,MN,53,FHBN_2006_Fargo
FEG138-17,MN,52,FHBN_2006_Langdon
FEG138-27,MN,188,SP6-NormN_2013_Prosper
FEG138-27,MN,185,SP6-LowN_2012_Prosper
FEG138-27,MN,185,SP6-LowN_2011_Crookston
FEG138-27,MN,184.5,SP6-NormN_2011_Crookston
FEG138-27,MN,183,SP6-NormN_2012_Prosper
FEG138-27,MN,169,SP6-NormN_2012_Crookston
FEG138-27,MN,168,SP6-LowN_2012_Crookston
FEG138-27,MN,66,PYT1_2006_Morris
FEG138-27,MN,57,PYT1_2006_StPaul
FEG138-27,MN,54,FHBN_2006_Fargo
FEG138-27,MN,53,FHBN_2006_Crookston07
FEG138-27,MN,52,FHBN_2006_Langdon
FEG138-27,MN,50,PYT1_2006_Crookston
FEG141-10,MN,66,PYT1_2006_Morris
FEG141-10,MN,58,PYT1_2006_StPaul
FEG141-10,MN,55,FHBN_2006_Fargo
FEG141-10,MN,53.5,FHBN_2006_Crookston07
FEG141-10,MN,52,FHBN_2006_Langdon
FEG141-10,MN,52,PYT1_2006_Crookston
FEG141-18,MN,66,PYT1_2006_Morris
FEG141-18,MN,56,PYT1_2006_StPaul
FEG141-18,MN,55,FHBN_2006_Fargo
FEG141-18,MN,53.5,FHBN_2006_Crookston07
FEG141-18,MN,52,PYT1_2006_Crookston
FEG141-18,MN,52,FHBN_2006_Langdon
FEG141-20,MN,189,SP6-NormN_2013_Prosper
FEG141-20,MN,184,SP6-LowN_2012_Prosper
FEG141-20,MN,184,SP6-NormN_2011_Crookston
FEG141-20,MN,184,SP6-LowN_2011_Crookston
FEG141-20,MN,183,SP6-NormN_2012_Prosper
FEG141-20,MN,171,SP6-LowN_2012_Crookston
FEG141-20,MN,168,SP6-NormN_2012_Crookston
FEG141-20,MN,66,PYT1_2006_Morris
FEG141-20,MN,57,PYT1_2006_StPaul
FEG141-20,MN,54,FHBN_2006_Crookston07
FEG141-20,MN,53,FHBN_2006_Fargo
FEG141-20,MN,52,FHBN_2006_Langdon
FEG141-20,MN,51,PYT1_2006_Crookston
FEG141-30,MN,66,PYT1_2006_Morris
FEG141-30,MN,57,PYT1_2006_StPaul
FEG141-30,MN,55,FHBN_2006_Fargo
